periode,m1,m2,n,DM,pval,sig
2016,AR(p),Ridge + Bagging,12,-2.9740942013229867,0.0029385484756545566,***
2016,LightGBM + Bagging,LinearRegression,12,0.9112003590034318,0.36218981492232905,
2016,LightGBM + Bagging,Ridge + Bagging,12,-0.38602734168648695,0.6994764195524734,
2016,LinearRegression,Ridge + Bagging,12,-2.5013028983806773,0.012373729782746423,**
2017,AR(1),AR(p),12,-3.9187259982708844,8.901823939178044e-05,***
2017,AR(1),LightGBM + Bagging,12,16.381368903147546,0.0,***
2017,AR(1),LinearRegression,12,0.33989065663497026,0.733938873139101,
2017,AR(1),Ridge + Bagging,12,-1.5279067535365969,0.12653569118028307,
2017,AR(p),LightGBM + Bagging,12,10.17823366988509,0.0,***
2017,AR(p),LinearRegression,12,3.4247307403295437,0.0006154090119436795,***
2017,AR(p),Ridge + Bagging,12,2.6278862769846723,0.008591723351060176,***
2017,LightGBM + Bagging,LinearRegression,12,-8.584503504285218,0.0,***
2017,LightGBM + Bagging,Ridge + Bagging,12,-11.65553382318051,0.0,***
2017,LinearRegression,Ridge + Bagging,12,-5.658074578198116,1.5308061929175665e-08,***
2018,AR(1),AR(p),12,-4.502228397346617,6.724466035556986e-06,***
2018,AR(1),LightGBM + Bagging,12,0.4758656280754112,0.6341701110055187,
2018,AR(1),LinearRegression,12,-5.044820154759413,4.539481430754222e-07,***
2018,AR(1),Ridge + Bagging,12,-6.318271852178132,2.6450441836800564e-10,***
2018,AR(p),LightGBM + Bagging,12,2.266820037705318,0.023401221541339723,**
2018,AR(p),LinearRegression,12,-2.20214568337576,0.027655019402134773,**
2018,AR(p),Ridge + Bagging,12,-3.229738078049449,0.0012390367218491072,***
2018,LightGBM + Bagging,LinearRegression,12,-7.892543952571453,3.1086244689504383e-15,***
2018,LightGBM + Bagging,Ridge + Bagging,12,-10.821471335282569,0.0,***
2018,LinearRegression,Ridge + Bagging,12,-1.6230234520979945,0.10458439161438626,
2019,AR(1),AR(p),12,-0.6960089065019314,0.48642325203356784,
2019,AR(1),LightGBM + Bagging,12,-3.1497093184459852,0.0016343298483425528,***
2019,AR(1),LinearRegression,12,-3.3015632350713062,0.0009614765939198744,***
2019,AR(1),Ridge + Bagging,12,-4.990177534694591,6.032382444676188e-07,***
2019,AR(p),LightGBM + Bagging,12,-4.129698318296284,3.632395565755786e-05,***
2019,AR(p),LinearRegression,12,-3.485781264575507,0.0004907020644571158,***
2019,AR(p),Ridge + Bagging,12,-6.924231972186206,4.383604590429968e-12,***
2019,LightGBM + Bagging,LinearRegression,12,-1.7433756982194943,0.08126801040733667,*
